Cycle,Duty cycle,Current density
0,0.1,15.76294
0.0025,0.1,15.87687
0.00625,0.1,15.98472
0.00875,0.1,16.08643
0.0125,0.1,16.18197
0.015,0.1,16.27131
0.01875,0.1,16.3544
0.02125,0.1,16.43122
0.025,0.1,16.50172
0.0275,0.1,16.56589
0.03125,0.1,16.62369
0.03375,0.1,16.6751
0.0375,0.1,16.72009
0.04,0.1,16.75864
0.04375,0.1,16.79074
0.04625,0.1,16.81637
0.05,0.1,16.83551
0.0525,0.1,16.84815
0.05625,0.1,16.85429
0.05875,0.1,16.85392
0.0625,0.1,16.84703
0.065,0.1,16.83362
0.06875,0.1,16.8137
0.07125,0.1,16.78727
0.075,0.1,16.75433
0.0775,0.1,16.71491
0.08125,0.1,16.669
0.08375,0.1,16.61663
0.0875,0.1,16.55782
0.09,0.1,16.49258
0.09375,0.1,16.42094
0.09625,0.1,16.34293
0.1,0.1,16.25857
0.1025,0.1,16.16791
0.10625,0.1,16.07096
0.10875,0.1,15.96778
0.1125,0.1,15.85841
0.115,0.1,15.74288
0.11875,0.1,15.62123
0.12125,0.1,15.49353
0.125,0.1,15.35982
0.1275,0.1,15.22014
0.13125,0.1,15.07457
0.13375,0.1,14.92315
0.1375,0.1,14.76594
0.14,0.1,14.60301
0.14375,0.1,14.43442
0.14625,0.1,14.26024
0.15,0.1,14.08053
0.1525,0.1,13.89538
0.15625,0.1,13.70484
0.15875,0.1,13.509
0.1625,0.1,13.30793
0.165,0.1,13.10171
0.16875,0.1,12.89043
0.17125,0.1,12.67416
0.175,0.1,12.45299
0.1775,0.1,12.22701
0.18125,0.1,11.9963
0.18375,0.1,11.76096
0.1875,0.1,11.52107
0.19,0.1,11.27673
0.19375,0.1,11.02804
0.19625,0.1,10.7751
0.2,0.1,10.51799
0.2025,0.1,10.25683
0.20625,0.1,9.99171
0.20875,0.1,9.72274
0.2125,0.1,9.45002
0.215,0.1,9.17366
0.21875,0.1,8.89377
0.22125,0.1,8.61045
0.225,0.1,8.32382
0.2275,0.1,8.03399
0.23125,0.1,7.74108
0.23375,0.1,7.44519
0.2375,0.1,7.14645
0.24,0.1,6.84496
0.24375,0.1,6.54086
0.24625,0.1,6.23425
0.25,0.1,5.92527
0.2525,0.1,5.61402
0.25625,0.1,5.30064
0.25875,0.1,4.98524
0.2625,0.1,4.66795
0.265,0.1,4.34889
0.26875,0.1,4.02819
0.27125,0.1,3.70597
0.275,0.1,3.38237
0.2775,0.1,3.0575
0.28125,0.1,2.73149
0.28375,0.1,2.40448
0.2875,0.1,2.07658
0.29,0.1,1.74793
0.29375,0.1,1.41866
0.29625,0.1,1.08888
0.3,0.1,0.75873
0.3025,0.1,0.42834
0.30625,0.1,0.09783
0.30875,0.1,-0.23267
0.3125,0.1,-0.56303
0.315,0.1,-0.89314
0.31875,0.1,-1.22285
0.32125,0.1,-1.55205
0.325,0.1,-1.88062
0.3275,0.1,-2.20843
0.33125,0.1,-2.53535
0.33375,0.1,-2.86127
0.3375,0.1,-3.18606
0.34,0.1,-3.50961
0.34375,0.1,-3.83179
0.34625,0.1,-4.15249
0.35,0.1,-4.47158
0.3525,0.1,-4.78896
0.35625,0.1,-5.1045
0.35875,0.1,-5.41809
0.3625,0.1,-5.72961
0.365,0.1,-6.03895
0.36875,0.1,-6.34599
0.37125,0.1,-6.65062
0.375,0.1,-6.95273
0.3775,0.1,-7.2522
0.38125,0.1,-7.54892
0.38375,0.1,-7.84279
0.3875,0.1,-8.13368
0.39,0.1,-8.42149
0.39375,0.1,-8.70611
0.39625,0.1,-8.98742
0.4,0.1,-9.26533
0.4025,0.1,-9.53971
0.40625,0.1,-9.81047
0.40875,0.1,-10.0775
0.4125,0.1,-10.34068
0.415,0.1,-10.59993
0.41875,0.1,-10.85514
0.42125,0.1,-11.1062
0.425,0.1,-11.35302
0.4275,0.1,-11.5955
0.43125,0.1,-11.83355
0.43375,0.1,-12.06707
0.4375,0.1,-12.29597
0.44,0.1,-12.52016
0.44375,0.1,-12.73955
0.44625,0.1,-12.95406
0.45,0.1,-13.16361
0.4525,0.1,-13.36811
0.45625,0.1,-13.56749
0.45875,0.1,-13.76166
0.4625,0.1,-13.95056
0.465,0.1,-14.13411
0.46875,0.1,-14.31225
0.47125,0.1,-14.4849
0.475,0.1,-14.652
0.4775,0.1,-14.81349
0.48125,0.1,-14.9693
0.48375,0.1,-15.11938
0.4875,0.1,-15.26367
0.49,0.1,-15.40211
0.49375,0.1,-15.53465
0.49625,0.1,-15.66125
0.5,0.1,-15.78185
0.5025,0.1,-15.8964
0.50625,0.1,-16.00487
0.50875,0.1,-16.1072
0.5125,0.1,-16.20335
0.515,0.1,-16.2933
0.51875,0.1,-16.37699
0.52125,0.1,-16.45441
0.525,0.1,-16.5255
0.5275,0.1,-16.59025
0.53125,0.1,-16.64863
0.53375,0.1,-16.70061
0.5375,0.1,-16.74616
0.54,0.1,-16.78527
0.54375,0.1,-16.81791
0.54625,0.1,-16.84407
0.55,0.1,-16.86374
0.5525,0.1,-16.8769
0.55625,0.1,-16.88355
0.55875,0.1,-16.88368
0.5625,0.1,-16.87727
0.565,0.1,-16.86435
0.56875,0.1,-16.84489
0.57125,0.1,-16.81892
0.575,0.1,-16.78643
0.5775,0.1,-16.74744
0.58125,0.1,-16.70196
0.58375,0.1,-16.65
0.5875,0.1,-16.59159
0.59,0.1,-16.52674
0.59375,0.1,-16.45548
0.59625,0.1,-16.37783
0.6,0.1,-16.29383
0.6025,0.1,-16.2035
0.60625,0.1,-16.10689
0.60875,0.1,-16.00403
0.6125,0.1,-15.89495
0.615,0.1,-15.77971
0.61875,0.1,-15.65834
0.62125,0.1,-15.5309
0.625,0.1,-15.39743
0.6275,0.1,-15.258
0.63125,0.1,-15.11264
0.63375,0.1,-14.96143
0.6375,0.1,-14.80442
0.64,0.1,-14.64167
0.64375,0.1,-14.47324
0.64625,0.1,-14.29921
0.65,0.1,-14.11964
0.6525,0.1,-13.93461
0.65625,0.1,-13.74418
0.65875,0.1,-13.54843
0.6625,0.1,-13.34745
0.665,0.1,-13.1413
0.66875,0.1,-12.93006
0.67125,0.1,-12.71383
0.675,0.1,-12.49268
0.6775,0.1,-12.26671
0.68125,0.1,-12.03599
0.68375,0.1,-11.80063
0.6875,0.1,-11.5607
0.69,0.1,-11.31632
0.69375,0.1,-11.06756
0.69625,0.1,-10.81453
0.7,0.1,-10.55733
0.7025,0.1,-10.29606
0.70625,0.1,-10.03082
0.70875,0.1,-9.76171
0.7125,0.1,-9.48883
0.715,0.1,-9.21231
0.71875,0.1,-8.93223
0.72125,0.1,-8.64872
0.725,0.1,-8.36188
0.7275,0.1,-8.07183
0.73125,0.1,-7.77867
0.73375,0.1,-7.48253
0.7375,0.1,-7.18352
0.74,0.1,-6.88175
0.74375,0.1,-6.57736
0.74625,0.1,-6.27044
0.75,0.1,-5.96113
0.7525,0.1,-5.64955
0.75625,0.1,-5.33582
0.75875,0.1,-5.02006
0.7625,0.1,-4.70239
0.765,0.1,-4.38295
0.76875,0.1,-4.06185
0.77125,0.1,-3.73922
0.775,0.1,-3.41519
0.7775,0.1,-3.08988
0.78125,0.1,-2.76343
0.78375,0.1,-2.43596
0.7875,0.1,-2.10759
0.79,0.1,-1.77845
0.79375,0.1,-1.44868
0.79625,0.1,-1.1184
0.8,0.1,-0.78773
0.8025,0.1,-0.45681
0.80625,0.1,-0.12576
0.80875,0.1,0.20529
0.8125,0.1,0.53621
0.815,0.1,0.86688
0.81875,0.1,1.19718
0.82125,0.1,1.52697
0.825,0.1,1.85614
0.8275,0.1,2.18455
0.83125,0.1,2.5121
0.83375,0.1,2.83865
0.8375,0.1,3.16408
0.84,0.1,3.48828
0.84375,0.1,3.81112
0.84625,0.1,4.13249
0.85,0.1,4.45227
0.8525,0.1,4.77033
0.85625,0.1,5.08657
0.85875,0.1,5.40086
0.8625,0.1,5.7131
0.865,0.1,6.02316
0.86875,0.1,6.33094
0.87125,0.1,6.63631
0.875,0.1,6.93916
0.8775,0.1,7.23938
0.88125,0.1,7.53686
0.88375,0.1,7.83149
0.8875,0.1,8.12314
0.89,0.1,8.41172
0.89375,0.1,8.69711
0.89625,0.1,8.97919
0.9,0.1,9.25786
0.9025,0.1,9.53302
0.90625,0.1,9.80454
0.90875,0.1,10.07233
0.9125,0.1,10.33628
0.915,0.1,10.59628
0.91875,0.1,10.85224
0.92125,0.1,11.10405
0.925,0.1,11.35161
0.9275,0.1,11.59483
0.93125,0.1,11.8336
0.93375,0.1,12.06784
0.9375,0.1,12.29745
0.94,0.1,12.52234
0.94375,0.1,12.74243
0.94625,0.1,12.95762
0.95,0.1,13.16785
0.9525,0.1,13.37302
0.95625,0.1,13.57305
0.95875,0.1,13.76788
0.9625,0.1,13.95741
0.965,0.1,14.1416
0.96875,0.1,14.32035
0.97125,0.1,14.49362
0.975,0.1,14.66132
0.9775,0.1,14.82341
0.98125,0.1,14.9798
0.98375,0.1,15.13046
0.9875,0.1,15.27532
0.99,0.1,15.41432
0.99375,0.1,15.54741
0.99625,0.1,15.67454
1,0.1,15.79567
1.0025,0.1,15.91076
1.00625,0.1,16.01973
1.00875,0.1,16.12257
1.0125,0.1,16.21922
1.015,0.1,16.30965
1.01875,0.1,16.39383
1.02125,0.1,16.47171
1.025,0.1,16.54326
1.0275,0.1,16.60846
1.03125,0.1,16.66728
1.03375,0.1,16.71969
1.0375,0.1,16.76566
1.04,0.1,16.80518
1.04375,0.1,16.83823
1.04625,0.1,16.86478
1.05,0.1,16.88483
1.0525,0.1,16.89836
1.05625,0.1,16.90537
1.05875,0.1,16.90584
1.0625,0.1,16.89978
1.065,0.1,16.88718
1.06875,0.1,16.86804
1.07125,0.1,16.84237
1.075,0.1,16.81018
1.0775,0.1,16.77147
1.08125,0.1,16.72626
1.08375,0.1,16.67457
1.0875,0.1,16.6164
1.09,0.1,16.55179
1.09375,0.1,16.48075
1.09625,0.1,16.40332
1.1,0.1,16.31952
1.1025,0.1,16.22939
1.10625,0.1,16.13295
1.10875,0.1,16.03025
1.1125,0.1,15.92133
1.115,0.1,15.80623
1.11875,0.1,15.685
1.12125,0.1,15.55767
1.125,0.1,15.42432
1.1275,0.1,15.28497
1.13125,0.1,15.1397
1.13375,0.1,14.98856
1.1375,0.1,14.83161
1.14,0.1,14.66891
1.14375,0.1,14.50052
1.14625,0.1,14.32651
1.15,0.1,14.14696
1.1525,0.1,13.96193
1.15625,0.1,13.77149
1.15875,0.1,13.57572
1.1625,0.1,13.3747
1.165,0.1,13.1685
1.16875,0.1,12.95721
1.17125,0.1,12.74091
1.175,0.1,12.51968
1.1775,0.1,12.29361
1.18125,0.1,12.0628
1.18375,0.1,11.82732
1.1875,0.1,11.58727
1.19,0.1,11.34275
1.19375,0.1,11.09385
1.19625,0.1,10.84067
1.2,0.1,10.5833
1.2025,0.1,10.32185
1.20625,0.1,10.05642
1.20875,0.1,9.78711
1.2125,0.1,9.51403
1.215,0.1,9.23729
1.21875,0.1,8.95698
1.22125,0.1,8.67324
1.225,0.1,8.38615
1.2275,0.1,8.09584
1.23125,0.1,7.80242
1.23375,0.1,7.50601
1.2375,0.1,7.20671
1.24,0.1,6.90466
1.24375,0.1,6.59996
1.24625,0.1,6.29274
1.25,0.1,5.98311
1.2525,0.1,5.6712
1.25625,0.1,5.35714
1.25875,0.1,5.04104
1.2625,0.1,4.72303
1.265,0.1,4.40322
1.26875,0.1,4.08176
1.27125,0.1,3.75877
1.275,0.1,3.43436
1.2775,0.1,3.10867
1.28125,0.1,2.78183
1.28375,0.1,2.45395
1.2875,0.1,2.12518
1.29,0.1,1.79564
